Name,Position,Team,StdPts,LowerCI,UpperCI,Ovr,Pos Rank,Cmp,PassAtt,PassYd,PassTD,Ints,RushAtt,RushYd,RushTD,Rec,RecYd,RecTD
B. Cooks,WR,NE,146.07,122.59,169.55,#64,#10,0.02,0.02,0.76,0,0,1.46,6.38,0,61.94,953.45,8.43
D. Baldwin,WR,SEA,145.5,121.97,169.03,#65,#11,0.02,0.02,0.3,0.02,0,2.11,8.69,0,91.65,1066.93,6.49
M. Crabtree,WR,OAK,143.69,120.67,166.71,#66,#12,0,0.07,0,0,0,0,0,0,77.56,997.36,7.57
J. Landry,WR,MIA,142.81,121.73,163.89,#67,#13,0,0.35,0,0,0,3.42,16.91,0,97.64,1093.37,5.49
D. Thomas,WR,DEN,141.44,119.37,163.51,#68,#14,0,0.22,0,0,0,0,0,0,77.08,1053.02,6.19
A. Abdullah,RB,DET,140.64,112.78,168.5,#69,#22,0,0,0,0,0,154.37,692.72,4.82,40.25,352.09,1.52
T. Pryor,WR,WSH,140.22,116.39,164.05,#70,#15,0,0,0,0,0,2.11,8.97,0,66.6,971.58,7.17
K. Allen,WR,LAC,139.79,111.92,167.66,#71,#16,0,0,0,0,0,0,0,0,85.49,985.19,6.91
J. Allen,RB,BAL,138.66,113.08,164.24,#72,#23,0,0,0,0,0,178.75,719.4,5.62,41.45,324.75,0.68
T. Hill,WR,KC,138.31,112.49,164.13,#73,#17,0.74,0.99,4.59,0.12,0,13.66,103.39,0.2,84.97,924.74,6.22
S. Diggs,WR,MIN,138.03,115.09,160.97,#74,#18,0,0,0,0,0,1.61,13.87,0.02,76.13,1022.07,5.85
D. Bryant,WR,DAL,137.93,113.66,162.2,#75,#19,0.3,0.3,7.37,0.08,0,0.12,-0.24,0,58.85,935.84,7.29
R. Kelley,RB,WSH,136.84,114.8,158.88,#76,#24,0,0,0,0,0,181.45,768.37,5.3,37.17,261.58,0.41
G. Tate,WR,DET,136.2,113.76,158.64,#77,#20,0.14,0.25,5.43,0.21,0,4.22,18.02,0.04,85.13,994.07,5.96
D. Hopkins,WR,HOU,134.32,112.93,155.71,#78,#21,0,0.12,0,0,0,0,0,0,77.3,1075.18,4.54
A. Jeffery,WR,PHI,132.92,112.28,153.56,#79,#22,0,0.25,0,0,0,0,0,0,66.46,1029.34,5.03
F. Gore,RB,IND,132.31,112.86,151.76,#80,#25,0.22,0.37,3.37,0.21,0,175.02,727.46,4.2,34.87,284.72,1.25
E. Sanders,WR,DEN,131.71,111.42,152,#81,#23,0,0,0,0,0,0.84,3.5,0,71.47,953.13,6.16
D. Martin,RB,TB,130.94,107.69,154.19,#82,#26,0.04,0.12,1.06,0.05,0,203.27,787.83,4.52,28.35,236.79,0.64
D. Adams,WR,GB,126.57,105.06,148.08,#83,#24,0,0,0,0,0,0,0,0,63.44,875.72,6.53
R. Cobb,WR,GB,124.21,100.72,147.7,#84,#25,0.3,0.3,7.8,0,0,4.37,33.85,0,80.31,901.58,5.33
P. Garcon,WR,SF,120.07,99.35,140.79,#85,#26,0,0.16,0,0,0,0,0,0,62.02,868.44,5.64
T. Kelce,TE,KC,115.58,95.26,135.9,#86,#2,0,0,0,0,0,0.02,0,0,73.68,864.86,5.06
M. Lee,WR,JAC,114.73,92.57,136.89,#87,#27,0,0,0,0,0,0.98,3.36,0,65.47,931.9,3.68
L. Fitzgerald,WR,ARI,114.55,96.45,132.65,#88,#28,0.06,0.83,2.9,0.08,0,0.42,0.98,0,81.22,902.44,4.18
T. Coleman,RB,ATL,113.6,96.33,130.87,#89,#27,0,0.08,0,0,0,106.46,489.44,3.64,30.83,313.18,2.09
K. Benjamin,WR,CAR,113.3,94.16,132.44,#90,#29,0,0,0,0,0,0,0,0,54.29,864.29,4.51
J. White,RB,NE,111.12,92.87,129.37,#91,#28,0,0,0,0,0,45.79,238.48,2.14,58.86,496.98,4.1
J. Maclin,WR,BAL,109.67,86.43,132.91,#92,#30,0,0,0,0,0,1.04,3.84,0,61.77,787.34,5.19
J. Stewart,RB,CAR,106.98,80.65,133.31,#93,#29,0.02,0.02,0.84,0.02,0,154.06,638.21,3.11,28.47,216.7,0.9
C. Hogan,WR,NE,106.5,83.73,129.27,#94,#31,0,0,0,0,0,3.24,24.09,0,48.59,722.03,5.4
M. Forte,RB,NYJ,105.57,90.06,121.08,#95,#30,0,0.18,0,0,0.1,136.84,625.78,3.13,25.23,203.11,0.82
